turn_id,trich_ngan_hoc_vien,trich_ngan_tutor,ghi_chu
#,Bản rút gọn tuân thủ quy định bảo mật data pack (README mục 3):,chỉ trích ≤100 ký tự/bên — tra nguyên văn bằng turn_id trong data/vlearn-pack/,sinh lại: python eval/verify-evidence.py (mục E2/E7) hoặc extract_failed_cases.py
T0649,"(Trang 37, đoạn được chọn: ""tóm tắt nội dung chính trong slide này"") tóm tắt nội dung chính trong s…","Xin lỗi bạn, tôi không tìm thấy nội dung cụ thể cho slide 37 trong tài liệu hiện có. Bạn có thể cun…",
T0905,"(Trang 50, đoạn được chọn: ""tóm gọn những nội dung quan trọng nhất trong day 04 này"") tóm gọn những…","Chào bạn, hiện tại tôi không tìm thấy tài liệu tổng hợp đầy đủ cho toàn bộ nội dung của Ngày 04 tro…",
T0092,"(Trang 50, đoạn được chọn: ""kỹ thuật tối ưu prompt, cơ chế gọi tool và cách xử lý ngữ cảnh"") kỹ thu…","Rất tiếc, tôi không tìm thấy tài liệu tổng hợp đầy đủ cho nội dung của Day 04 trong các file slide …",
T0115,"(Trang 25, đoạn được chọn: ""điêu toa"") điêu toa","Rất xin lỗi, mình không tìm thấy thuật ngữ ""điêu toa"" trong tài liệu của bài học hôm nay. Có thể đâ…",
T0154,"(Trang 25, đoạn được chọn: ""tại sao có lưu ý như trang 25"") tại sao có lưu ý như trang 25","Rất tiếc, mình đã kiểm tra lại các tài liệu của bài học hôm nay nhưng không thấy trang 25 đề cập đế…",
T0811,"(Trang 2, đoạn được chọn: ""Designt Pattern ReAct là gì có lưu ý gì về nó?"") Designt Pattern ReAct l…","Rất tiếc, tôi không tìm thấy định nghĩa chi tiết về ""ReAct"" trong các slide bài giảng hiện tại của …",
T0541,"(Trang 2, đoạn được chọn: ""Giúp tôi viết summary chi tiết và đầy đủ nhất về toàn bộ slide bài giảng…","Rất tiếc, hiện tại trong nội dung slide bài giảng của ngày hôm nay không chứa thông tin chi tiết về…",
T0122,"(Trang 5, đoạn được chọn: ""tóm tắt hết slice trong vài câu đi"") tóm tắt hết slice trong vài câu đi","Rất tiếc là mình đã thử tìm kiếm nội dung tổng quan từ các slide (với các từ khóa như ""giới thiệu"",…",
T0769,"(Trang 4, đoạn được chọn: ""giải thích nghĩa chi tiết của trang 4"") giải thích nghĩa chi tiết của tr…","Chào bạn, rất xin lỗi vì hiện tại hệ thống tìm kiếm không tìm thấy nội dung cụ thể cho trang 4 tron…",
